Código,Nome empresa,cd2,link Bovespa,Nome completo empresa,Link trading view,Link google,Segmento empresa,SETOR,SUBSETOR,SEGMENTO
REDE3,REDE ENERGIA,REDE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3190,REDE ENERGIA PARTICIPAÇÕES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-REDE3,https://www.google.com/search?q=REDE ENERGIA Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
RENT3,LOCALIZA,RENT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19739,LOCALIZA RENT A CAR S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RENT3,https://www.google.com/search?q=LOCALIZA Aluguel de carros,Aluguel de carros,Consumo Cíclico,Diversos,Aluguel de carros
RLOG3,COSAN LOG,RLOG,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23485,COSAN LOGISTICA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RLOG3,https://www.google.com/search?q=COSAN LOG Transporte Ferroviário,Transporte Ferroviário,Bens Industriais,Transporte,Transporte Ferroviário
RNEW11,RENOVA,RNEW,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21636,RENOVA ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RNEW11,https://www.google.com/search?q=RENOVA Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
RNEW3,RENOVA,RNEW,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21636,RENOVA ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RNEW3,https://www.google.com/search?q=RENOVA Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
RNEW4,RENOVA,RNEW,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21636,RENOVA ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RNEW4,https://www.google.com/search?q=RENOVA Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ROMI3,INDS ROMI,ROMI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=7510,INDUSTRIAS ROMI S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ROMI3,https://www.google.com/search?q=INDS ROMI Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
RPAD3,ALFA HOLDING,RPAD,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9954,ALFA HOLDINGS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RPAD3,https://www.google.com/search?q=ALFA HOLDING Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
RPAD5,ALFA HOLDING,RPAD,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9954,ALFA HOLDINGS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RPAD5,https://www.google.com/search?q=ALFA HOLDING Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
RPAD6,ALFA HOLDING,RPAD,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9954,ALFA HOLDINGS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RPAD6,https://www.google.com/search?q=ALFA HOLDING Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
